DienTich,City,District,MucGia,MatTien,PhapLy,DuongVao,HuongNha,SoTang,SoPhongNgu,SoToilet,NoiThat,Ward
85.0,77,754,4200000000.0,5.0,1,,4,3.0,4,4,2,26725
35.0,1,2,27000000000.0,,1,12.0,4,4.0,3,2,2,58
100.0,1,4,32299999999.999996,7.0,1,17.0,5,5.0,4,4,2,139
95.0,79,763,15500000000.0,,1,,6,4.0,4,4,0,26866
225.0,1,4,42500000000.0,11.0,1,13.0,4,4.0,3,3,2,127
46.0,1,1,52500000000.0,,1,16.0,7,4.0,4,0,2,13
48.0,1,7,5930000000.0,4.5,1,3.0,5,5.0,3,4,2,268
112.0,1,7,37800000000.0,5.7,1,,6,9.0,8,1,1,271
90.0,79,762,5900000000.0,4.7,1,,2,1.0,4,4,2,26800
46.0,1,20,5600000000.0,3.6,1,3.2,7,5.0,5,4,3,664
105.0,1,5,52500000000.0,6.0,1,,6,,12,0,2,167
260.0,74,725,11350000000.0,,1,,7,,3,1,2,25987
144.43,79,762,22500000000.0,5.5,1,,2,3.0,3,3,2,26824
50.0,1,6,18200000000.0,,1,,7,5.0,4,0,2,214
85.0,79,777,6200000000.0,,4,,3,,8,5,1,27460
85.0,1,1,45000000000.0,5.2,1,,6,4.0,3,6,2,25
95.0,1,3,22000000000.0,7.0,1,2.8,6,6.0,8,8,1,97
100.0,79,762,8000000000.0,5.0,1,6.0,2,3.0,4,4,2,26821
50.0,1,2,36000000000.0,,1,,2,8.0,7,3,2,46
70.0,1,1,45000000000.0,,1,,6,4.0,1,1,2,13
55.0,1,21,6200000000.0,3.5,1,12.0,7,2.0,2,3,3,601
84.0,79,762,10000000000.0,4.5,1,7.0,6,2.0,3,3,2,26800
122.0,79,772,20000000000.0,11.0,,,7,6.0,10,10,1,27223
120.0,1,2,30000000000.0,5.0,1,,4,5.0,2,3,2,43
90.0,79,778,14700000000.0,4.5,1,,5,5.0,3,3,2,27478
34.0,1,20,7500000000.0,3.3,1,7.0,8,5.0,4,4,3,640
85.0,1,5,28000000000.0,5.0,1,4.5,4,7.0,9,1,2,157
110.0,75,735,1850000000.0,8.0,1,6.0,2,1.0,4,2,2,26188
90.0,48,492,6000000000.0,,1,7.5,4,3.0,3,3,1,20258
95.0,79,769,31900000000.0,5.0,4,,3,4.0,3,14,1,27091
75.0,31,307,5200000000.0,5.0,,65.0,3,,4,11,2,11431
85.0,1,5,32000000000.0,7.0,1,,4,9.0,5,8,2,157
90.0,79,785,1600000000.0,6.0,1,,5,1.0,4,3,2,27595
180.0,79,776,17800000000.0,9.0,,10.0,6,4.0,5,0,2,27418
106.0,1,4,32000000000.0,5.6,1,,5,8.0,26,0,1,148
96.0,75,731,2400000000.0,4.8,1,6.0,7,2.0,3,2,2,25996
59.0,31,303,2500000000.0,,,,3,3.0,2,6,1,11302
350.0,79,777,28500000000.0,,,,4,1.0,7,0,2,27460
40.0,79,763,4900000000.0,,1,,4,2.0,4,2,2,26851
168.0,70,697,580000000.0,6.0,1,12.0,1,2.0,3,3,1,25432
89.0,31,303,1400000000.0,6.85,1,,3,,1,8,1,11299
71.6,79,760,21500000000.0,4.2,1,,7,7.0,7,2,1,26746
102.2,79,762,5500000000.0,6.61,1,,3,2.0,2,2,2,26824
60.0,79,766,10500000000.0,4.0,1,5.0,3,4.0,4,5,3,26974
118.9,79,762,6700000000.0,7.6,1,4.0,7,,2,2,0,26827
55.0,1,3,23500000000.0,4.2,1,,6,7.0,10,1,2,109
90.0,79,772,8500000000.0,5.0,,7.0,5,5.0,3,13,1,27211
60.0,79,772,9900000000.0,4.6,,8.0,1,3.0,7,2,1,27217
60.0,79,772,9900000000.0,4.6,,8.0,4,3.0,5,6,2,27214
60.0,74,724,2650000000.0,,,,3,2.0,3,2,0,25948
102.0,1,3,32799999999.999996,5.5,1,,4,8.0,5,1,2,109
55.0,79,786,4990000000.0,5.0,1,6.0,1,3.0,4,5,2,27643
66.0,1,6,37000000000.0,4.2,1,,6,5.0,4,21,2,217
53.5,79,769,6600000000.0,,1,4.0,7,3.0,4,5,2,27097
100.0,1,1,20600000000.0,7.8,1,4.0,4,8.0,14,14,2,16
70.0,1,1,17000000000.0,,1,,1,4.0,5,5,2,8
78.0,79,769,8500000000.0,4.0,1,6.0,7,3.0,4,5,1,27100
42.0,1,2,35800000000.0,,1,,4,,9,0,2,61
46.0,1,6,11500000000.0,,1,,3,4.0,7,2,2,217
175.0,48,494,13300000000.0,10.0,1,,6,2.0,5,4,2,20285
37.0,1,6,8800000000.0,4.0,1,,4,7.0,3,3,2,217
92.5,48,492,7300000000.0,5.0,1,5.5,3,3.0,4,4,2,20257
60.0,1,5,16500000000.0,5.0,1,,5,5.0,11,7,2,157
150.0,79,772,25000000000.0,,1,,4,4.0,14,1,2,27211
55.0,1,5,15500000000.0,4.0,1,,7,6.0,8,2,2,169
95.0,1,268,26500000000.0,7.5,1,15.0,3,5.0,5,5,2,9553
80.0,1,2,23000000000.0,,1,,4,5.0,12,0,2,43
90.0,33,326,16600000000.000002,,1,30.0,4,4.0,4,3,2,12022
111.0,1,21,20000000000.0,8.7,1,30.0,3,3.0,4,4,3,617
268.2,77,747,16000000000.0,24.0,1,,7,2.0,3,3,2,26535
50.0,1,3,10500000000.0,4.0,1,,5,4.0,3,4,3,103
52.0,1,268,9200000000.0,11.0,1,30.0,1,5.0,4,5,2,9565
47.0,1,9,8500000000.0,,1,,4,,6,4,2,364
100.0,79,771,34000000000.0,4.0,,50.0,6,7.0,3,8,0,27166
105.0,33,326,21600000000.0,5.5,4,,1,4.0,4,3,0,12022
52.0,1,268,10800000000.0,4.2,1,16.0,4,6.0,5,6,2,9551
111.0,1,21,4107000000.0,,,,3,,1,4,2,601
130.0,79,766,17000000000.0,5.0,1,,2,1.0,2,2,2,27004
128.0,1,9,23500000000.0,,1,,3,5.0,9,1,2,367
70.0,1,6,45000000000.0,5.0,1,,3,7.0,3,5,2,199
150.0,1,1,48000000000.0,15.0,1,20.0,7,4.0,5,5,2,7
60.0,56,568,2300000000.0,6.0,1,3.0,2,3.0,3,3,3,22393
90.0,1,9,24500000000.0,,1,,4,,7,7,1,358
105.0,1,268,24500000000.0,,1,,7,4.0,0,2,1,9542
65.0,1,1,35000000000.0,4.5,1,,2,5.0,6,0,2,22
67.0,79,778,4350000000.0,4.5,1,5.0,2,2.0,2,2,0,27487
145.0,1,9,21500000000.0,,1,,4,4.0,6,0,2,370
41.0,1,20,4600000000.0,,1,,3,1.0,2,2,1,649
97.0,1,268,15500000000.0,,1,,6,5.0,2,1,1,9542
265.0,1,3,50000000000.0,9.5,2,,6,2.0,3,4,3,94
89.0,1,6,29500000000.0,,,,3,,12,6,2,202
50.0,79,770,14200000000.0,,1,,7,4.0,4,3,2,27157
155.0,1,7,40000000000.0,,,,4,3.0,6,1,1,286
135.0,1,9,29000000000.0,,,,6,,9,11,1,358
54.0,79,763,3400000000.0,,1,,2,2.0,2,0,1,26848
80.0,1,6,28500000000.0,,,,5,,12,2,1,199
105.0,1,20,18500000000.0,5.2,1,,3,5.0,0,7,2,643
175.0,79,763,21500000000.0,,1,,2,3.0,4,4,0,26866
54.0,79,763,5800000000.0,4.0,1,6.0,7,3.0,3,3,2,26845
86.0,1,7,21500000000.0,,,,6,4.0,0,11,2,280
50.0,79,770,6900000000.0,,,,6,2.0,5,0,0,27139
75.0,79,763,8100000000.0,,1,,6,3.0,3,3,2,26866
64.0,79,771,16500000000.0,,1,,2,5.0,8,7,2,27172
100.0,79,763,14000000000.0,,1,24.0,3,4.0,5,5,0,26848
83.0,79,763,8500000000.0,,1,,7,3.0,4,5,2,26866
150.0,79,778,23500000000.0,,1,,4,,8,16,3,27490
70.4,74,725,2830000000.0,,1,12.0,6,2.0,4,3,2,25972
33.0,1,8,5660000000.0,,1,,5,5.0,3,4,1,322
120.0,79,771,31000000000.0,4.0,,50.0,3,8.0,4,9,1,27172
108.0,79,763,9500000000.0,,1,12.0,4,3.0,4,4,2,26866
75.0,79,763,6800000000.0,,1,12.0,3,3.0,3,3,0,26866
59.3,48,492,13900000000.0,4.46,1,10.5,1,3.0,3,3,3,20233
48.0,79,765,7900000000.0,,1,,7,4.0,4,3,2,26905
355.0,79,763,26000000000.0,,1,,3,3.0,6,6,0,26866
924.0,49,503,35000000000.0,,1,,5,3.0,15,17,2,20422
40.0,1,9,5450000000.0,,1,,4,5.0,4,0,2,364
42.0,1,1,10300000000.0,3.8,1,6.0,5,6.0,7,5,2,8
52.0,1,5,12000000000.0,4.5,1,,2,6.0,5,4,2,160
45.0,1,19,6400000000.0,4.5,1,3.0,4,3.0,3,2,2,625
75.0,79,771,18500000000.0,,1,10.0,1,6.0,11,10,2,27172
48.0,1,19,8500000000.0,4.2,,,2,5.0,4,10,2,625
120.0,79,760,34000000000.0,6.0,,,3,7.0,7,1,2,26758
41.0,1,5,5500000000.0,6.2,1,,4,5.0,5,4,2,160
35.0,1,6,6500000000.0,3.2,1,,3,4.0,4,3,3,238
48.0,79,764,6150000000.0,4.0,1,3.5,5,3.0,4,4,2,26890
57.0,1,9,16800000000.0,,1,,7,4.0,4,3,2,367
41.0,1,5,8199999999.999999,5.0,1,,3,5.0,3,3,2,172
50.0,1,1,8500000000.0,4.0,1,,5,2.0,2,3,2,6
37.0,1,4,6250000000.0,3.5,1,6.0,1,6.0,3,5,3,148
27.0,1,6,2750000000.0,3.7,1,,5,2.0,2,2,2,196
97.5,75,742,9800000000.0,5.0,,,5,4.0,4,10,3,26476
100.0,48,494,7400000000.0,5.0,1,15.0,3,3.0,3,2,2,20285
60.0,1,4,17000000000.0,4.2,1,8.0,4,7.0,6,6,2,145
152.0,79,774,39500000000.0,8.0,,,2,5.0,0,4,1,27307
